,Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
644,2016,1,Santa Fe,17.83,56.74
645,2016,1,Santiago del Estero,10.54,42.51
646,2016,1,Tierra del Fuego,24.84,83.95
647,2016,1,Tucumán,8.01,32.35
648,2015,4,Buenos Aires,15.04,49.34
649,2015,4,Capital Federal,23.47,61.8
650,2015,4,Catamarca,7.4,29.1
651,2015,4,Chaco,7.94,29.75
652,2015,4,Chubut,12.14,39.67
653,2015,4,Córdoba,27.87,91.11
654,2015,4,Corrientes,8.82,33.52
655,2015,4,Entre Ríos,11.69,39.12
656,2015,4,Formosa,8.01,31.48
657,2015,4,Jujuy,11.9,46.57
658,2015,4,La Pampa,25.41,77.17
659,2015,4,La Rioja,6.84,25.72
660,2015,4,Mendoza,6.2,22.23
661,2015,4,Misiones,10.02,36.83
662,2015,4,Neuquén,17.93,60.29
663,2015,4,Río Negro,8.09,26.33
664,2015,4,Salta,12.97,53.61
665,2015,4,San Juan,5.99,23.52
666,2015,4,San Luis,11.45,40.04
667,2015,4,Santa Cruz,17.16,57.8
668,2015,4,Santa Fe,18.06,57.46
669,2015,4,Santiago del Estero,10.77,43.42
670,2015,4,Tierra del Fuego,24.74,83.62
671,2015,4,Tucumán,7.86,31.76
672,2015,3,Buenos Aires,15.04,49.36
673,2015,3,Capital Federal,23.44,61.71
674,2015,3,Catamarca,7.33,28.83
675,2015,3,Chaco,8.11,30.37
676,2015,3,Chubut,12.14,39.66
677,2015,3,Córdoba,27.64,90.37
678,2015,3,Corrientes,8.63,32.8
679,2015,3,Entre Ríos,11.63,38.91
680,2015,3,Formosa,8.01,31.5
681,2015,3,Jujuy,11.79,46.13
682,2015,3,La Pampa,25.1,76.23
683,2015,3,La Rioja,7.01,26.36
684,2015,3,Mendoza,6.23,22.35
685,2015,3,Misiones,9.96,36.62
686,2015,3,Neuquén,17.96,60.4
687,2015,3,Río Negro,8.17,26.6
688,2015,3,Salta,12.77,52.79
689,2015,3,San Juan,5.9,23.17
690,2015,3,San Luis,11.49,40.19
691,2015,3,Santa Cruz,17.15,57.76
692,2015,3,Santa Fe,18.06,57.46
693,2015,3,Santiago del Estero,10.73,43.28
694,2015,3,Tierra del Fuego,24.33,82.22
695,2015,3,Tucumán,7.7,31.12
696,2015,2,Buenos Aires,15.14,49.69
697,2015,2,Capital Federal,22.7,59.77
698,2015,2,Catamarca,7.19,28.27
699,2015,2,Chaco,8.0,29.95
700,2015,2,Chubut,12.13,39.62
701,2015,2,Córdoba,27.44,89.71
702,2015,2,Corrientes,8.56,32.54
703,2015,2,Entre Ríos,11.65,38.98
704,2015,2,Formosa,8.0,31.46
705,2015,2,Jujuy,11.48,44.92
706,2015,2,La Pampa,24.16,73.38
707,2015,2,La Rioja,6.91,25.98
708,2015,2,Mendoza,6.19,22.2
709,2015,2,Misiones,9.78,35.93
710,2015,2,Neuquén,17.95,60.36
711,2015,2,Río Negro,8.33,27.1
712,2015,2,Salta,12.69,52.44
713,2015,2,San Juan,5.9,23.16
714,2015,2,San Luis,11.66,40.8
715,2015,2,Santa Cruz,16.9,56.91
716,2015,2,Santa Fe,18.0,57.28
717,2015,2,Santiago del Estero,10.64,42.89
718,2015,2,Tierra del Fuego,23.67,80.01
719,2015,2,Tucumán,7.63,30.82
720,2015,1,Buenos Aires,15.02,49.29
721,2015,1,Capital Federal,22.6,59.5
722,2015,1,Catamarca,7.08,27.85
723,2015,1,Chaco,8.01,30.01
724,2015,1,Chubut,12.09,39.51
725,2015,1,Córdoba,27.32,89.31
726,2015,1,Corrientes,8.45,32.1
727,2015,1,Entre Ríos,11.5,38.5
728,2015,1,Formosa,8.0,31.44
729,2015,1,Jujuy,11.0,43.05
730,2015,1,La Pampa,23.7,71.97
731,2015,1,La Rioja,6.95,26.13
732,2015,1,Mendoza,6.14,22.02
733,2015,1,Misiones,9.61,35.31
734,2015,1,Neuquén,17.94,60.33
735,2015,1,Río Negro,8.23,26.78
736,2015,1,Salta,12.62,52.15
737,2015,1,San Juan,5.95,23.36
738,2015,1,San Luis,11.67,40.83
739,2015,1,Santa Cruz,17.01,57.29
740,2015,1,Santa Fe,17.79,56.6
741,2015,1,Santiago del Estero,10.59,42.69
742,2015,1,Tierra del Fuego,23.24,78.55
743,2015,1,Tucumán,7.49,30.27
744,2014,4,Buenos Aires,15.13,49.65
745,2014,4,Capital Federal,22.64,59.62
746,2014,4,Catamarca,7.19,28.27
747,2014,4,Chaco,8.05,30.14
748,2014,4,Chubut,12.29,40.15
749,2014,4,Córdoba,27.67,90.44
750,2014,4,Corrientes,8.61,32.71
751,2014,4,Entre Ríos,11.61,38.85
752,2014,4,Formosa,8.12,31.92
753,2014,4,Jujuy,11.03,43.19
754,2014,4,La Pampa,23.46,71.25
755,2014,4,La Rioja,7.26,27.31
756,2014,4,Mendoza,6.23,22.35
757,2014,4,Misiones,9.59,35.23
758,2014,4,Neuquén,25.35,85.26
759,2014,4,Río Negro,8.43,27.43
760,2014,4,Salta,12.69,52.45
761,2014,4,San Juan,5.88,23.12
762,2014,4,San Luis,11.77,41.16
763,2014,4,Santa Cruz,14.13,47.59
764,2014,4,Santa Fe,19.35,61.59
765,2014,4,Santiago del Estero,10.71,43.19
766,2014,4,Tierra del Fuego,23.45,79.26
767,2014,4,Tucumán,7.63,30.85
768,2014,3,Buenos Aires,15.05,49.38
769,2014,3,Capital Federal,22.61,59.53
770,2014,3,Catamarca,7.01,27.57
771,2014,3,Chaco,7.57,28.35
772,2014,3,Chubut,12.31,40.21
773,2014,3,Córdoba,27.65,90.4
774,2014,3,Corrientes,8.47,32.2
775,2014,3,Entre Ríos,11.51,38.53
776,2014,3,Formosa,8.09,31.81
777,2014,3,Jujuy,10.29,40.27
778,2014,3,La Pampa,22.93,69.63
779,2014,3,La Rioja,6.78,25.51
780,2014,3,Mendoza,6.27,22.5
781,2014,3,Misiones,9.86,36.24
782,2014,3,Neuquén,25.36,85.28
783,2014,3,Río Negro,8.44,27.48
784,2014,3,Salta,12.68,52.4
785,2014,3,San Juan,5.85,23.0
786,2014,3,San Luis,11.67,40.81
787,2014,3,Santa Cruz,14.04,47.28
788,2014,3,Santa Fe,19.41,61.77
789,2014,3,Santiago del Estero,10.65,42.95
790,2014,3,Tierra del Fuego,23.64,79.91
791,2014,3,Tucumán,7.61,30.77
792,2014,2,Buenos Aires,15.04,49.35
793,2014,2,Capital Federal,22.7,59.78
794,2014,2,Catamarca,6.97,27.4
795,2014,2,Chaco,7.58,28.39
796,2014,2,Chubut,12.33,40.27
797,2014,2,Córdoba,27.61,90.25
798,2014,2,Corrientes,8.34,31.71
799,2014,2,Entre Ríos,11.32,37.9
800,2014,2,Formosa,8.11,31.9
801,2014,2,Jujuy,10.01,39.19
802,2014,2,La Pampa,22.58,68.57
803,2014,2,La Rioja,6.91,26.0
804,2014,2,Mendoza,6.24,22.38
805,2014,2,Misiones,9.74,35.78
806,2014,2,Neuquén,25.35,85.26
807,2014,2,Río Negro,8.43,27.45
808,2014,2,Salta,12.63,52.19
809,2014,2,San Juan,5.77,22.67
810,2014,2,San Luis,11.85,41.46
811,2014,2,Santa Cruz,14.95,50.33
812,2014,2,Santa Fe,19.29,61.4
813,2014,2,Santiago del Estero,10.55,42.54
814,2014,2,Tierra del Fuego,23.44,79.22
815,2014,2,Tucumán,7.64,30.88
816,2014,1,Buenos Aires,14.34,47.07
817,2014,1,Capital Federal,22.68,59.71
818,2014,1,Catamarca,4.64,18.25
819,2014,1,Chaco,7.79,29.18
820,2014,1,Chubut,12.34,40.33
821,2014,1,Córdoba,14.48,47.34
822,2014,1,Corrientes,5.76,21.89
823,2014,1,Entre Ríos,8.34,27.92
824,2014,1,Formosa,5.23,20.56
825,2014,1,Jujuy,8.98,35.13
826,2014,1,La Pampa,19.94,60.56
827,2014,1,La Rioja,6.92,26.04
828,2014,1,Mendoza,5.74,20.58
829,2014,1,Misiones,8.45,31.04
830,2014,1,Neuquén,17.34,58.31
831,2014,1,Río Negro,5.83,18.96
832,2014,1,Salta,9.36,38.71
833,2014,1,San Juan,5.75,22.6
834,2014,1,San Luis,3.59,12.56
835,2014,1,Santa Cruz,6.79,22.85
836,2014,1,Santa Fe,16.22,51.62
837,2014,1,Santiago del Estero,10.13,40.84
838,2014,1,Tierra del Fuego,20.17,68.18
839,2014,1,Tucumán,7.1,28.67
