,Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
128,2021,2,Formosa,9.94,39.07
129,2021,2,Jujuy,13.67,53.47
130,2021,2,La Pampa,22.07,67.0
131,2021,2,La Rioja,5.09,19.13
132,2021,2,Mendoza,5.41,19.39
133,2021,2,Misiones,11.01,40.43
134,2021,2,Neuquén,11.63,39.07
135,2021,2,Río Negro,14.68,47.74
136,2021,2,Salta,13.57,56.03
137,2021,2,San Juan,4.28,16.79
138,2021,2,San Luis,8.89,31.05
139,2021,2,Santa Cruz,11.32,38.06
140,2021,2,Santa Fe,18.95,60.28
141,2021,2,Santiago del Estero,16.4,66.08
142,2021,2,Tierra del Fuego,23.77,80.18
143,2021,2,Tucumán,6.66,26.9
144,2021,1,Buenos Aires,16.57,49.78
145,2021,1,Capital Federal,24.07,58.22
146,2021,1,Catamarca,10.23,40.24
147,2021,1,Chaco,9.76,36.52
148,2021,1,Chubut,11.69,38.13
149,2021,1,Córdoba,28.67,93.65
150,2021,1,Corrientes,10.03,38.1
151,2021,1,Entre Ríos,15.89,53.16
152,2021,1,Formosa,9.94,39.06
153,2021,1,Jujuy,13.76,53.82
154,2021,1,La Pampa,22.22,67.45
155,2021,1,La Rioja,4.96,18.62
156,2021,1,Mendoza,5.3,18.99
157,2021,1,Misiones,10.87,39.92
158,2021,1,Neuquén,11.7,39.29
159,2021,1,Río Negro,14.68,47.74
160,2021,1,Salta,14.2,58.63
161,2021,1,San Juan,4.31,16.93
162,2021,1,San Luis,8.89,31.08
163,2021,1,Santa Cruz,11.9,40.0
164,2021,1,Santa Fe,19.33,61.46
165,2021,1,Santiago del Estero,16.2,65.27
166,2021,1,Tierra del Fuego,23.85,80.43
167,2021,1,Tucumán,6.47,26.12
168,2020,4,Buenos Aires,16.88,50.85
169,2020,4,Capital Federal,24.62,59.48
170,2020,4,Catamarca,10.1,39.7
171,2020,4,Chaco,9.76,36.51
172,2020,4,Chubut,11.75,38.34
173,2020,4,Córdoba,28.42,92.81
174,2020,4,Corrientes,9.94,37.77
175,2020,4,Entre Ríos,15.55,52.01
176,2020,4,Formosa,9.81,38.56
177,2020,4,Jujuy,14.17,55.4
178,2020,4,La Pampa,22.11,67.11
179,2020,4,La Rioja,5.99,22.5
180,2020,4,Mendoza,5.33,19.09
181,2020,4,Misiones,10.93,40.12
182,2020,4,Neuquén,11.91,40.0
183,2020,4,Río Negro,14.84,48.23
184,2020,4,Salta,14.24,58.78
185,2020,4,San Juan,4.3,16.89
186,2020,4,San Luis,8.96,31.32
187,2020,4,Santa Cruz,12.0,40.33
188,2020,4,Santa Fe,19.3,61.38
189,2020,4,Santiago del Estero,9.4,37.87
190,2020,4,Tierra del Fuego,24.22,81.71
191,2020,4,Tucumán,6.52,26.34
192,2020,3,Buenos Aires,16.8,50.73
193,2020,3,Capital Federal,24.1,58.16
194,2020,3,Catamarca,9.8,38.54
195,2020,3,Chaco,9.94,37.19
196,2020,3,Chubut,10.61,34.61
197,2020,3,Córdoba,29.04,94.86
198,2020,3,Corrientes,10.16,38.59
199,2020,3,Entre Ríos,16.94,56.66
200,2020,3,Formosa,9.93,39.01
201,2020,3,Jujuy,14.15,55.33
202,2020,3,La Pampa,22.08,67.01
203,2020,3,La Rioja,4.99,18.74
204,2020,3,Mendoza,5.27,18.87
205,2020,3,Misiones,10.92,40.08
206,2020,3,Neuquén,12.05,40.47
207,2020,3,Río Negro,15.01,48.81
208,2020,3,Salta,14.28,58.97
209,2020,3,San Juan,4.3,16.89
210,2020,3,San Luis,8.99,31.41
211,2020,3,Santa Cruz,12.14,40.8
212,2020,3,Santa Fe,19.49,61.98
213,2020,3,Santiago del Estero,9.35,37.66
214,2020,3,Tierra del Fuego,24.35,82.13
215,2020,3,Tucumán,6.48,26.18
216,2020,2,Buenos Aires,16.63,50.34
217,2020,2,Capital Federal,24.0,57.85
218,2020,2,Catamarca,9.69,38.08
219,2020,2,Chaco,9.77,36.56
220,2020,2,Chubut,10.37,33.84
221,2020,2,Córdoba,29.23,95.46
222,2020,2,Corrientes,9.96,37.81
223,2020,2,Entre Ríos,15.78,52.78
224,2020,2,Formosa,9.8,38.52
225,2020,2,Jujuy,12.69,49.64
226,2020,2,La Pampa,22.58,68.53
227,2020,2,La Rioja,4.91,18.44
228,2020,2,Mendoza,5.16,18.5
229,2020,2,Misiones,11.28,41.42
230,2020,2,Neuquén,11.97,40.23
231,2020,2,Río Negro,14.94,48.58
232,2020,2,Salta,14.24,58.79
233,2020,2,San Juan,4.24,16.66
234,2020,2,San Luis,9.04,31.59
235,2020,2,Santa Cruz,11.98,40.26
236,2020,2,Santa Fe,19.03,60.53
237,2020,2,Santiago del Estero,9.22,37.14
238,2020,2,Tierra del Fuego,24.22,81.69
239,2020,2,Tucumán,5.74,23.17
240,2020,1,Buenos Aires,16.9,51.27
241,2020,1,Capital Federal,24.12,58.06
242,2020,1,Catamarca,9.5,37.33
243,2020,1,Chaco,9.54,35.7
244,2020,1,Chubut,10.95,35.73
245,2020,1,Córdoba,28.36,92.63
